date,daily_ub_events,daily_ub_revenue,n_tagged_markets,n_total_markets,trailing_7d_ub_revenue
2026-04-04,27,81.0,,,501.0
2026-04-05,13,39.0,,,510.0
2026-04-06,5,15.0,,,501.0
2026-04-07,33,99.0,,,579.0
2026-04-08,22,66.0,,,612.0
2026-04-09,16,48.0,,,504.0
2026-04-10,5,15.0,,,363.0
2026-04-11,1,3.0,,,285.0
2026-04-12,4,12.0,,,258.0
2026-04-13,7,21.0,,,264.0
2026-04-14,11,33.0,,,198.0
2026-04-15,9,27.0,,,159.0
2026-04-16,20,60.0,,,171.0
2026-04-17,24,72.0,,,228.0
2026-04-18,15,45.0,,,270.0
2026-04-19,13,39.0,,,297.0
2026-04-20,5,15.0,,,291.0
2026-04-21,12,36.0,,,294.0
2026-04-22,5,15.0,,,282.0
2026-04-23,6,18.0,,,240.0
2026-04-24,20,60.0,,,228.0
2026-04-25,1,3.0,,,186.0
2026-04-26,7,21.0,,,168.0
2026-04-27,3,9.0,,,162.0
2026-04-28,2,6.0,,,132.0
2026-04-29,22,66.0,,,183.0
2026-04-30,4,12.0,,,177.0
2026-05-01,15,45.0,,,162.0
2026-05-02,19,57.0,,,216.0
2026-05-03,12,36.0,48,82,231.0
